pattern,note,source,snapshot_date
DECANOATE,ester modification of the substance; not a dose form property,SNOMED EDQM Dose Form Map Guide 4.1,2026-09-03
ENANTHATE,ester modification of the substance,SNOMED EDQM Dose Form Map Guide 4.1,2026-09-03
CYPIONATE,ester modification of the substance,SNOMED EDQM Dose Form Map Guide 4.1,2026-09-03
UNDECANOATE,ester modification of the substance,SNOMED EDQM Dose Form Map Guide 4.1,2026-09-03
PALMITATE,ester modification of the substance,SNOMED EDQM Dose Form Map Guide 4.1,2026-09-03
INSULIN ISOPHANE,named example in the guide,SNOMED EDQM Dose Form Map Guide 4.1,2026-09-03
ISOPHANE,named example in the guide,SNOMED EDQM Dose Form Map Guide 4.1,2026-09-03
INSULIN ZINC,named example in the guide,SNOMED EDQM Dose Form Map Guide 4.1,2026-09-03
